adx,sl,trail,activation,ts,trades,win_rate,pf,ret,dd,final_eq
20,2.0,1.0,2.0,8,58,46.55,0.89,-1.84,-3.71,196.31
20,2.0,1.0,2.0,12,57,47.37,0.84,-2.39,-3.97,195.23
20,2.0,1.0,2.0,16,57,47.37,0.82,-2.66,-3.99,194.69
20,2.0,1.2,1.0,8,58,39.66,0.82,-2.94,-4.5,194.12
20,2.0,1.2,1.0,12,57,40.35,0.92,-1.46,-3.41,197.09
20,2.0,1.2,1.0,16,57,38.6,0.91,-1.63,-3.41,196.74
20,2.0,1.2,1.5,8,58,39.66,0.82,-2.94,-4.5,194.12
20,2.0,1.2,1.5,12,57,40.35,0.92,-1.46,-3.41,197.09
20,2.0,1.2,1.5,16,57,38.6,0.91,-1.63,-3.41,196.74
20,2.0,1.2,2.0,8,58,39.66,0.82,-2.94,-4.5,194.12
20,2.0,1.2,2.0,12,57,40.35,0.92,-1.46,-3.41,197.09
20,2.0,1.2,2.0,16,57,38.6,0.91,-1.63,-3.41,196.74
22,1.0,0.8,1.0,8,51,47.06,1.13,1.53,-6.32,203.07
22,1.0,0.8,1.0,12,51,47.06,1.07,0.53,-6.32,201.06
22,1.0,0.8,1.0,16,51,47.06,1.05,0.2,-6.32,200.39
22,1.0,0.8,1.5,8,51,47.06,1.13,1.53,-6.32,203.07
22,1.0,0.8,1.5,12,51,47.06,1.07,0.53,-6.32,201.06
22,1.0,0.8,1.5,16,51,47.06,1.05,0.2,-6.32,200.39
22,1.0,0.8,2.0,8,51,47.06,1.13,1.53,-6.32,203.07
22,1.0,0.8,2.0,12,51,47.06,1.07,0.53,-6.32,201.06
22,1.0,0.8,2.0,16,51,47.06,1.05,0.2,-6.32,200.39
22,1.0,1.0,1.0,8,51,47.06,1.06,0.45,-7.59,200.9
22,1.0,1.0,1.0,12,51,47.06,1.08,0.88,-7.59,201.76
22,1.0,1.0,1.0,16,51,47.06,1.06,0.37,-7.59,200.74
22,1.0,1.0,1.5,8,51,47.06,1.06,0.45,-7.59,200.9
22,1.0,1.0,1.5,12,51,47.06,1.08,0.88,-7.59,201.76
22,1.0,1.0,1.5,16,51,47.06,1.06,0.37,-7.59,200.74
